Spiral_1,Spiral_2,Spiral_3,Spiral_4,Spiral_5,Spiral_6
,,,,,
,任務A13,數據E45,,任務C22,
觀點B44,任務A10,項目F1,,,觀點B6
觀點F31,,觀點B37,項目C36,,
,數據E4,,觀點D47,目標E19,
,,項目E49,事件F36,,
項目F10,,任務F25,,,目標C5
,項目E37,任務A15,,數據F32,
事件A33,,階段C41,數據D20,目標D23,項目B38
,,項目D13,階段E33,數據B43,數據E26
目標B36,,,任務D2,觀點F48,任務F22
,目標F42,項目A35,,項目E3,
任務C39,項目C44,階段D17,任務D36,觀點F4,項目C40
,階段E5,數據C12,目標D12,,數據C35
,階段F15,事件C11,,,任務F34
階段B30,,,數據D6,項目C42,
,數據D11,階段F30,,目標A28,事件E23
,,,數據A3,,
目標F46,目標D5,目標C33,任務C6,階段D18,任務D46
目標A46,,觀點B3,數據B25,數據A31,階段A5
階段B48,,目標A14,,,任務C8
,,,事件E43,數據A48,
,,,觀點B5,任務A39,
數據B20,,事件B33,目標F41,任務A42,數據E13
,,項目C16,,,
,目標E18,項目C38,,,階段E16
項目E12,階段E8,,,項目B15,階段E47
目標E32,觀點A44,階段C1,,事件E36,
數據C31,,數據F49,,,
,項目B47,觀點B29,,,目標A18
事件C21,數據E40,,,,目標D50
,,階段C15,項目B7,數據A26,階段C4
項目B34,事件F44,,,,
,觀點D30,目標D38,,數據B12,任務A27
,任務D31,觀點B18,觀點D39,事件B21,
項目F39,,階段B23,事件F5,觀點E46,觀點D41
觀點E11,,項目C50,事件E35,,目標D28
,,任務F28,,,
,目標C49,,,,任務A29
觀點A49,項目C20,,任務C34,,
,,數據B24,,目標E48,數據D44
階段A22,,,觀點F13,,
,,目標A17,,觀點A41,
,數據A23,目標F14,事件D25,事件A47,
,,任務B17,項目E44,數據E10,任務A6
任務B1,,任務A24,觀點F9,目標D48,
,,,,階段D32,數據E2
數據A40,,目標D37,,事件D49,
,項目B39,數據D35,目標D29,,數據D43
,任務D3,,,,
